,name,id,popularity,release_date,hit_miss
0,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,97,2018-12-14,hit
1,Wow.,6MWtB6iiXyIwun0YzU6DFP,97,2018-12-24,hit
2,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,94,2018-12-21,hit
3,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,93,2018-11-30,hit
4,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,93,2018-08-03,hit
5,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,90,2018-10-05,hit
6,a lot,2t8yVaLvJ0RenpXUIAC52d,90,2018-12-21,hit
7,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,91,2018-08-03,hit
8,Without Me,5p7ujcrUXASCNwRaWNHR1C,95,2018-10-04,hit
9,Thotiana,3oh6SCCeLuXhFpEyepla6G,90,2018-12-18,hit
10,Happier,2dpaYNEQHiRxtZbfNsse99,95,2018-08-17,hit
11,Envy Me,05t7JMip6JrLuSrMV5yYjX,88,2018-12-13,hit
12,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,88,2018-11-30,hit
13,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,90,2018-12-10,hit
14,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,92,2018-04-19,hit
15,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,89,2018-10-05,hit
16,Better,6zeeWid2sgw4lap2jV61PZ,87,2018-10-18,hit
17,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,89,2018-12-14,hit
18,Better Now,7dt6x5M1jzdTEt8oCbisTK,91,2018-04-27,hit
19,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,94,2018-11-16,hit
20,SAD!,3ee8Jmje8o58CHK66QrVC2,90,2018-03-16,hit
21,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,87,2018-09-04,hit
22,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,88,2018-12-21,hit
23,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,86,2018-12-10,hit
24,Moonlight,0JP9xo3adEtGSdUEISiszL,89,2018-03-16,hit
25,Money,2GGMabyHXnJmjY6CXhhB2e,86,2018-10-23,hit
26,High Hopes,1rqqCSm0Qe4I9rUvWncaom,93,2018-06-22,hit
27,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,86,2018-11-06,hit
28,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,90,2018-04-27,hit
29,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,89,2018-07-12,hit
30,Sweet but Psycho,25sgk305KZfyuqVBQIahim,95,2018-08-17,hit
31,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,85,2018-11-30,hit
32,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,87,2018-09-14,hit
33,Nonstop,0TlLq3lA83rQOYtrqBqSct,87,2018-06-29,hit
34,Shallow,2VxeLyX666F8uXCJ0dZF8B,95,2018-10-05,hit
35,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,88,2018-05-16,hit
36,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,84,2018-05-18,hit
37,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,88,2018-04-27,hit
38,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,83,2018-06-01,hit
39,Be Alright,3EPXxR3ImUwfayaurPi3cm,90,2018-06-29,hit
40,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,92,2018-10-11,hit
41,Bindhast Bedhund,004k8WEe2cyUKrocZUEGuT,0,2018-03-16,miss
42,Visiri,00DMv3gdOFGDBFZ0WuvtXn,48,2018-01-01,miss
43,Kannayya - Father's Love,00KXNatS7yb38Qsamk9E1l,4,2018-03-01,miss
44,Jind,00WYqnsHDg6OuJdeVAUpf8,0,2018-04-18,miss
45,Khali Sa Hu,00XrMau14h4upk42sNS5jF,0,2018-09-13,miss
46,Kelambu,01TeS5INIliEC9KSDPKcBJ,4,2018-05-15,miss
47,Soorma Anthem,01d8tSqJUrPlK1l8FwgsCF,37,2018-07-03,miss
48,Love U Love U,01oZDopSwUqFkU7kbJxyay,8,2018-05-24,miss
49,Chal Chal Gurram,02aa366Ss8y0tud1tGl5nD,1,2018-03-29,miss
50,Pagla Chulke Le,03FFUFehsCyBTMpa2Xwox8,0,2018-05-23,miss
51,Sound Of Revenge,03a6MXgqjjCQx0hdE5PDtk,0,2018-03-05,miss
52,Nalmeya Premika,03rVQgLSz1M7AwWz8QmWWA,0,2018-08-28,miss
53,Anuvanuvuna,03ryTHCm12hVFF682JAAxo,0,2018-05-18,miss
54,"Rafta Rafta Medley (From ""Yamla Pagla Deewana Phir Se"")",04BwiKrOHzi0kjDlVbxv59,31,2018-08-23,miss
55,Dewak Kalji Re,04FrYE3TX2ef8BreMNc0S2,12,2018-05-08,miss
56,Kaadum Medum,04SkP2d3RDuv1GsrcQCi6K,0,2018-07-07,miss
57,Khat,04ZBv5bHTnALjkW7w5d3mM,0,2018-08-07,miss
58,Neene Nanna Muddu,04fUO5tWtfhGPVlKkvCH9q,1,2018-12-11,miss
59,Far Beyond Earth,04hbKlV1bPNceAYSOh6D7F,8,2018-01-04,miss
60,Bharavsa Haay Kaay,05000QnSgaowneWezGELtw,0,2018-10-05,miss
61,Baap Aa Gaya,0560UpkU5WDS27qb0TgP0A,1,2018-09-21,miss
62,Puli Onnu,05FSDW170E4Brk3Et2Tsn9,0,2018-08-21,miss
63,Nee Unnai Matrikondal,05Uhhl2Go2WWgzhVKlM1Jl,9,2018-10-15,miss
64,Kannamma Kanvizhi,05iTSR19OE1olJ5er2aIME,9,2018-09-25,miss
65,"Sun Sahiba Sun (From ""Ram Teri Ganga Maili"")",05kWM9mXzCqwITa9slp54C,2,2018-06-06,miss
66,My Love,06HO3qrdlDxMzAvZMAS0Tz,4,2018-07-26,miss
67,Marayatholi Kannal,06oBpnv0d4llNkbOAPjxif,3,2018-05-17,miss
68,"Aai Paapi (From ""Kismat Konnection"")",073WsZs7OtZQ4FuHLpobyT,8,2018-01-10,miss
69,Beda Guru Beda,076VPV3AUFKEAkDKPirWKy,0,2018-10-11,miss
70,"Chalte Chalte (From ""Mitron"")",07LoKRXvbZlTQeZbA8ftBG,40,2018-08-27,miss
71,Chella Penney,07SJfrfeViYO7yC7LOK1ci,2,2018-06-30,miss
72,Tahuke Akash,07hNK6YiZYqx6J3bINprzc,0,2018-03-11,miss
73,"Akasheo Alpo Neel (From ""Kabir"")",07iwjTrXQsfQRJ65rEConJ,13,2018-03-23,miss
74,Than Thanthina,07lTVE8CFBi8SJMCjc6JDk,0,2018-09-28,miss
75,Uri Kahur,087bK8ss26sw2K0QOU5mYb,0,2018-03-22,miss
76,Uruntubhoomid,08BhPNvP6LwO9SSNIQozOg,0,2018-09-25,miss
77,Mazhai Pozhindhidum,08DspEl4p6UhUqFDsBmVnK,15,2018-05-16,miss
78,Tu Yaad Aawelu,09ENmhltDKHN33eGmrjIHh,0,2018-10-25,miss
79,Jija Ji Devghar Ghumadi,09KirdaNnhlHy6oAD9lm2p,0,2018-10-22,miss
80,Hey Rango Rango,09L8UlZktZzV7ENwBPt75F,0,2018-11-06,miss
81,Thee Yazhini,09TxQHXC7gzfSVfwhua20L,5,2018-09-07,miss
